SK_ID_CURR,TARGET,NAME_CONTRACT_TYPE,CODE_GENDER,AMT_INCOME_TOTAL,AMT_CREDIT,AMT_ANNUITY,NAME_INCOME_TYPE,NAME_EDUCATION_TYPE,DAYS_BIRTH,OCCUPATION_TYPE
100002,1,Cash loans,M,202500.0,406597.5,24700.5,Working,Secondary / secondary special,25,Laborers
100031,1,Cash loans,F,112500.0,979992.0,27076.5,Working,Secondary / secondary special,51,Cooking staff
100047,1,Cash loans,M,202500.0,1193580.0,35028.0,Commercial associate,Secondary / secondary special,47,Laborers
100049,1,Cash loans,F,135000.0,288873.0,16258.5,Working,Secondary / secondary special,36,Sales staff
100130,1,Cash loans,F,157500.0,723996.0,30802.5,Commercial associate,Incomplete higher,28,Sales staff
100160,1,Cash loans,M,292500.0,675000.0,36747.0,Working,Higher education,45,Managers
100181,1,Cash loans,F,157500.0,245619.0,12667.5,Working,Secondary / secondary special,48,Private service staff
100192,1,Cash loans,F,111915.0,225000.0,21037.5,Commercial associate,Secondary / secondary special,21,Core staff
100209,1,Revolving loans,M,180000.0,540000.0,27000.0,Commercial associate,Higher education,41,High skill tech staff
100246,1,Cash loans,F,135000.0,495216.0,26995.5,Working,Secondary / secondary special,35,Laborers
100273,1,Cash loans,F,157500.0,1710000.0,66262.5,Working,Secondary / secondary special,63,Medicine staff
100282,1,Revolving loans,F,73341.0,135000.0,6750.0,Commercial associate,Higher education,25,Managers
100286,1,Cash loans,M,121500.0,263686.5,17298.0,Working,Secondary / secondary special,48,Drivers
100295,1,Cash loans,M,225000.0,1019205.0,31032.0,Commercial associate,Secondary / secondary special,31,Laborers
100300,1,Cash loans,M,63000.0,426645.0,22468.5,Commercial associate,Secondary / secondary special,33,Sales staff
100301,1,Cash loans,M,112500.0,571486.5,31131.0,Working,Secondary / secondary special,22,Laborers
100336,1,Cash loans,F,157500.0,497520.0,28692.0,Commercial associate,Secondary / secondary special,38,Laborers
100424,1,Cash loans,M,112500.0,117162.0,12433.5,Working,Secondary / secondary special,50,Laborers
100439,1,Cash loans,M,81000.0,312840.0,22891.5,Working,Secondary / secondary special,22,High skill tech staff
100472,1,Cash loans,M,135000.0,545040.0,26509.5,Working,Secondary / secondary special,38,Laborers
100477,1,Cash loans,M,112500.0,284400.0,22599.0,Working,Secondary / secondary special,37,Drivers
100485,1,Revolving loans,M,270000.0,810000.0,40500.0,Working,Secondary / secondary special,31,Security staff
100490,1,Cash loans,M,135000.0,755190.0,38686.5,Working,Secondary / secondary special,26,Security staff
100540,1,Cash loans,F,157500.0,338832.0,26901.0,State servant,Secondary / secondary special,25,Medicine staff
100541,1,Cash loans,F,180000.0,900000.0,43299.0,Working,Secondary / secondary special,29,Sales staff
100547,1,Cash loans,M,211500.0,450000.0,21888.0,Working,Secondary / secondary special,27,High skill tech staff
100567,1,Revolving loans,M,99000.0,180000.0,9000.0,Working,Secondary / secondary special,22,Sales staff
100616,1,Cash loans,M,225000.0,203760.0,22072.5,Working,Secondary / secondary special,36,Laborers
100636,1,Cash loans,F,211500.0,1506816.0,49927.5,Commercial associate,Higher education,57,High skill tech staff
100641,1,Cash loans,M,112500.0,254700.0,20250.0,Commercial associate,Secondary / secondary special,31,Security staff
100646,1,Cash loans,M,216000.0,640080.0,31261.5,Working,Secondary / secondary special,41,Laborers
100650,1,Cash loans,M,135000.0,808650.0,31333.5,Commercial associate,Secondary / secondary special,45,Low-skill Laborers
100690,1,Cash loans,F,135000.0,244998.0,16704.0,Working,Secondary / secondary special,33,Laborers
100713,1,Cash loans,F,180000.0,755190.0,32125.5,Working,Higher education,35,Accountants
100717,1,Cash loans,M,135000.0,284400.0,13833.0,Working,Secondary / secondary special,29,High skill tech staff
100839,1,Cash loans,M,180000.0,824823.0,29353.5,Commercial associate,Secondary / secondary special,45,Laborers
100840,1,Cash loans,M,135000.0,450000.0,30442.5,Commercial associate,Secondary / secondary special,40,Core staff
100896,1,Cash loans,F,112500.0,1006920.0,44352.0,Working,Secondary / secondary special,38,Laborers
100971,1,Cash loans,F,180000.0,948582.0,33736.5,Commercial associate,Secondary / secondary special,30,Accountants
100992,1,Cash loans,M,135000.0,203760.0,13396.5,Working,Secondary / secondary special,34,Laborers
100996,1,Cash loans,F,94500.0,675000.0,26154.0,State servant,Higher education,32,Sales staff
101042,1,Cash loans,F,81000.0,521280.0,22959.0,Working,Higher education,41,Sales staff
101093,1,Cash loans,F,166500.0,152820.0,17370.0,Commercial associate,Secondary / secondary special,24,High skill tech staff
101096,1,Cash loans,M,112500.0,550980.0,35343.0,Working,Secondary / secondary special,24,Laborers
101121,1,Cash loans,M,180000.0,436032.0,20326.5,Working,Secondary / secondary special,42,Laborers
101127,1,Cash loans,M,211500.0,835380.0,45445.5,Working,Secondary / secondary special,45,Laborers
101142,1,Cash loans,F,135000.0,312768.0,17095.5,Working,Secondary / secondary special,30,Laborers
101147,1,Cash loans,M,315000.0,1165500.0,34209.0,Commercial associate,Secondary / secondary special,33,Drivers
101197,1,Cash loans,F,144000.0,314100.0,16443.0,Working,Secondary / secondary special,27,Laborers
101201,1,Cash loans,F,99000.0,180000.0,14562.0,Working,Secondary / secondary special,34,Laborers
101245,1,Cash loans,M,112500.0,314100.0,19215.0,Working,Secondary / secondary special,23,Security staff
101277,1,Cash loans,M,225000.0,729792.0,43587.0,Working,Secondary / secondary special,43,High skill tech staff
101286,1,Cash loans,M,202500.0,579942.0,37192.5,Working,Secondary / secondary special,33,Laborers
101291,1,Cash loans,F,180000.0,521280.0,22216.5,Working,Secondary / secondary special,57,Sales staff
101300,1,Cash loans,F,81000.0,808650.0,31333.5,Working,Secondary / secondary special,44,Sales staff
101330,1,Revolving loans,M,270000.0,180000.0,9000.0,Commercial associate,Secondary / secondary special,41,Drivers
101340,1,Cash loans,F,135000.0,148500.0,15993.0,Working,Higher education,30,Managers
101373,1,Cash loans,M,175500.0,550980.0,40221.0,Working,Secondary / secondary special,45,Laborers
101382,1,Cash loans,F,153000.0,432661.5,23598.0,Working,Secondary / secondary special,23,High skill tech staff
101406,1,Cash loans,F,87750.0,454500.0,14661.0,Working,Secondary / secondary special,39,Laborers
101420,1,Cash loans,M,180000.0,972000.0,28417.5,Working,Secondary / secondary special,41,Drivers
101444,1,Cash loans,M,99000.0,810000.0,34317.0,Working,Secondary / secondary special,27,Laborers
101474,1,Cash loans,F,225000.0,576072.0,26986.5,Working,Secondary / secondary special,36,Cooking staff
101484,1,Cash loans,F,135000.0,645048.0,35122.5,Commercial associate,Higher education,39,Managers
101495,1,Cash loans,F,81000.0,450000.0,27193.5,Working,Secondary / secondary special,41,Cooking staff
101515,1,Cash loans,F,112500.0,152820.0,11205.0,Working,Higher education,28,High skill tech staff
101516,1,Cash loans,F,90000.0,390447.0,18333.0,Working,Secondary / secondary special,27,Medicine staff
101531,1,Cash loans,F,90000.0,675000.0,32602.5,Working,Secondary / secondary special,36,Medicine staff
101541,1,Cash loans,F,202500.0,1170000.0,46525.5,Commercial associate,Higher education,39,Accountants
101559,1,Cash loans,M,292500.0,835380.0,45445.5,Commercial associate,Secondary / secondary special,27,High skill tech staff
101564,1,Cash loans,M,112500.0,417024.0,18369.0,Working,Secondary / secondary special,27,Drivers
101617,1,Cash loans,F,112500.0,107820.0,8775.0,Commercial associate,Secondary / secondary special,30,Sales staff
101646,1,Cash loans,M,247500.0,675000.0,49248.0,Working,Secondary / secondary special,43,Drivers
